Year,"Total_LA_Intake_g_per_capita_day","LA_Intake_percent_calories",Plant_Fat_Ratio,Total_Calorie_Supply,Total_Fat_Supply_g,Total_Carb_Supply_g,Total_Protein_Supply_g,Population,"Diabetes_Prevalence_Rate_AgeStandardised","Diabetes_Treatment_Rate_AgeStandardised","Obesity_Prevalence_AgeStandardised",BMI_AgeStandardised,"Total_Cholesterol_AgeStandardised","NonHDL_Cholesterol_AgeStandardised","Dementia_Prevalence_Number","Dementia_Mortality_Rate_ASMR",CVD_Mortality_Rate_ASMR,LA_perc_kcal_lag5,LA_perc_kcal_lag10,LA_perc_kcal_lag15,LA_perc_kcal_lag20
2005,155.2605,41.957005422739485,0.6440555153001504,3330.42,179.41,342.2325,86.7,,4.943411203978485,55.589446834968946,23.175095979697335,,5.066099595266325,3.67486562127114,,,,38.839014903543706,37.12503232562519,35.429879742440505,36.43798250968692
2006,154.9002,41.74357423465722,0.6072781162522641,3339.6800000000003,182.19,340.80250000000007,84.19,,5.08653979305309,56.30696105076856,23.719853002073556,,5.03307373870336,3.6367425999933847,,,,40.147640892636886,37.10976386155805,37.98122162281882,37.36779003867292
2007,159.1809,42.34247789964623,0.5954248724559766,3383.4300000000003,182.29,346.5850000000001,89.12,,5.238442377756835,56.980810350635245,24.23581269847687,,5.00089632519043,3.599672603491565,,,,38.855926135993826,38.38076532958691,39.22103808959937,36.791283511238504
2008,150.65305,40.22229424258965,0.6014218811713593,3370.96,177.23000000000002,356.9625,87.00999999999999,,5.394797984306821,57.63480267580909,24.72475402251833,,4.9694751763131,3.563484846753055,,,,38.51480507672838,38.762264967540276,39.41716016389375,35.39633753505957
2009,162.494,42.509752169894135,0.6216809421841543,3440.26,186.8,354.97500000000014,84.78999999999999,,5.548782796754869,58.2909059963268,25.18333085394041,,4.93860539657433,3.527993894500075,,9.637969182890714,186.2,41.83669164895159,39.683029226546104,38.403051781910754,35.87601487459655
2010,150.68665831258113,40.40745774593037,0.6354302313933687,3381.8231481515227,177.1737352294385,411.69000000000005,88.32064007700174,,5.6931147958573405,58.954954883574494,25.61369030201068,,4.9080757577262,3.492876599669045,278096.0,9.96644807048223,176.8,41.957005422739485,38.839014903543706,37.12503232562519,35.429879742440505
2011,157.98827187454987,42.23723465660987,0.6398040534050524,3392.08706086588,184.76968421052632,397.01249999999993,86.88326495417995,,5.82894177228499,59.61748530723975,26.019749388118928,,4.8778566943340955,3.4579919255606253,287372.0,10.923430419526351,171.6,41.74357423465722,40.147640892636886,37.10976386155805,37.98122162281882
2012,159.84594868540992,42.44569392382803,0.6411575253569196,3415.117208898181,184.60108253921717,404.6675,86.30311957328199,,5.96408406835501,60.265785175414656,26.416548592104927,,4.847513315976805,3.4229083730588252,296690.0,10.663743998910778,160.5,42.34247789964623,38.855926135993826,38.38076532958691,39.22103808959937
2013,154.1222581277781,41.36320478941091,0.6153306964401943,3379.0047426927467,177.23585163465768,412.13,87.10839599751348,,6.105964650770945,60.8972338061761,26.821516315092573,,4.81676604309914,3.387128982514525,306049.0,11.434504234012635,154.9,40.22229424258965,38.51480507672838,38.762264967540276,39.41716016389375
2014,159.84551299968103,43.96998218266366,0.6348127801069827,3296.7178393916693,184.1396463861604,375.715,83.19457939802281,,6.26081077526962,61.49931740422375,27.24134378919158,,4.785632522970165,3.35069555449045,315785.0,11.992090831432083,155.2,42.509752169894135,41.83669164895159,39.683029226546104,38.403051781910754
2015,157.43538668458285,43.95032717896324,0.6225595470519327,3248.46252349936,181.8058443043542,368.3325,82.81358840161222,,6.431687674777595,62.070956640381894,27.680814965253077,,4.754306316674265,3.3138887451925303,325010.0,12.2610772533696,152.6,40.40745774593037,41.957005422739485,38.839014903543706,37.12503232562519
2016,159.02054207201945,44.086251925895304,0.6234484096198604,3271.0536675661197,183.01267732004104,370.775,83.61886482584372,,6.620164592333295,62.617550082818305,28.1401270010246,,4.72287115746412,3.276881703529155,334892.0,12.629892807785035,144.6,42.23723465660987,41.74357423465722,40.147640892636886,37.10976386155805
2017,154.20046371611463,43.375752698275235,0.6242328251831321,3223.8607412704205,179.28569300689048,370.0375,80.80472678417453,,6.8240006312425,63.13758908848466,28.60916420061226,,4.69125985053065,3.239671458531805,345383.0,13.086069645217616,140.7,42.44569392382803,42.34247789964623,38.855926135993826,38.38076532958691
2018,153.8061681314652,43.66308578182118,0.6261192184021765,3194.4562556584583,179.38330450080633,361.34749999999985,80.86533898814895,,7.047164463996134,63.6324266017669,29.079985686091657,,4.65960058324142,3.20233452243068,355923.0,12.795839678682151,133.0,41.36320478941091,40.22229424258965,38.51480507672838,38.762264967540276
2019,154.58059951457506,43.67203429005956,0.619776746023906,3209.8828550075827,179.65839143820557,362.7125,82.88285949186869,,7.288210422311805,64.1026488589463,29.55175303234124,,,,367765.0,13.058715696908752,129.5,43.96998218266366,42.509752169894135,41.83669164895159,39.683029226546104
2020,149.164372375824,42.83953502598482,0.5904603553985244,3157.6062627909146,170.78461926403753,366.9375,85.81822194148668,,7.54671960146569,64.55103285318755,30.03239641230922,,,,375291.0,13.04582173358359,119.7,43.95032717896324,40.40745774593037,41.957005422739485,38.839014903543706
2021,155.0568911534024,43.71404707378787,0.6304834935019669,3216.6786363941637,178.21196657381614,370.4950000000001,80.99522228237984,,7.82352966731385,64.97665366287009,30.52335905800873,,,,386208.0,14.104197951571418,122.5,44.086251925895304,42.23723465660987,41.74357423465722,40.147640892636886
2022,163.94810409724246,45.01698758762963,0.6373296483369865,3302.688293323032,186.22498284708988,372.4874999999999,82.88285949186869,,8.119828387620334,65.37064600101226,31.02439846757464,,,,397923.0,14.341119898465465,125.1,43.375752698275235,42.44569392382803,42.34247789964623,38.855926135993826
